rank,canonical_url,explicit_citations,raw_url_variants,prompt_instances,days_seen_of_31,providers
1,https://wellows.com/blog/audit-brand-visibility-on-llms/,880,60,330,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
2,https://wellows.com/alternatives/best-promptwatch-alternatives/,852,59,315,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
3,https://wellows.com/blog/best-ai-content-optimization-tools/,647,56,328,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
4,https://wellows.com/alternatives/best-tryprofound-alternatives/,591,52,217,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
5,https://wellows.com/alternatives/best-otterly-ai-alternatives/,545,49,228,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
6,https://wellows.com/alternatives/best-peec-ai-alternatives/,323,18,203,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
7,https://wellows.com/features/content-optimization/,313,38,109,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
8,https://wellows.com/blog/wellows-vs-otterly/,293,19,128,25,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
9,https://wellows.com/blog/ai-visibility-tools/,239,25,203,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
10,https://wellows.com/alternatives/best-rankscale-alternatives/,232,21,76,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
11,https://wellows.com/alternatives/best-aiclicks-alternatives/,216,23,82,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
12,https://wellows.com/alternatives/best-ziptie-alternatives/,207,20,54,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
13,https://wellows.com/,184,20,134,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
14,https://wellows.com/blog/technical-seo-checklist-for-agencies/,177,18,79,31,"gemini,google_ai_mode,google_ai_overview,perplexity"
15,https://wellows.com/alternatives/best-rankability-alternatives/,176,26,60,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
16,https://wellows.com/alternatives/,176,5,138,30,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
17,https://wellows.com/solutions/agencies/,139,5,111,30,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
18,https://wellows.com/blog/can-agencies-use-llm-audits-for-seo/,132,17,52,31,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
19,https://wellows.com/blog/wellows-vs-peec-ai/,128,2,120,30,"openai,perplexity"
20,https://wellows.com/features/prompt-tracking/,100,14,63,30,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
21,https://wellows.com/blog/wellows-vs-ziptie/,79,2,78,30,"openai,perplexity"
22,https://wellows.com/blog/agency-client-onboarding-using-ai-search-visibility/,78,19,32,30,"gemini,google_ai_mode,google_ai_overview,perplexity"
23,https://wellows.com/pricing/,73,3,72,24,"gemini,google_ai_mode,google_ai_overview,openai"
24,https://wellows.com/blog/wellows-vs-aiclicks/,71,15,31,9,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
25,https://wellows.com/blog/llm-citation-trends-for-ai-search/,68,8,52,28,"gemini,google_ai_mode,google_ai_overview,perplexity"
26,https://wellows.com/features/llm-citations/,66,10,43,26,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
27,https://wellows.com/blog/e-e-a-t-checklist/,65,6,43,30,"gemini,google_ai_mode,google_ai_overview,perplexity"
28,https://wellows.com/blog/keyword-research-checklist/,60,4,38,28,"gemini,google_ai_mode,google_ai_overview,perplexity"
29,https://wellows.com/ai-info/,58,1,58,21,openai
30,https://wellows.com/features/,57,2,57,26,"google_ai_mode,openai,perplexity"
31,https://wellows.com/blog/llm-seo/,52,11,26,22,"gemini,google_ai_mode,google_ai_overview"
32,https://wellows.com/blog/what-is-content-cannibalization/,51,4,32,29,"gemini,google_ai_mode,google_ai_overview,perplexity"
33,https://wellows.com/blog/ai-content-optimization/,50,2,38,21,"google_ai_mode,google_ai_overview,openai"
34,https://wellows.com/solutions/startups/,49,7,42,25,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
35,https://wellows.com/blog/chatgpt-search-visibility-tips/,47,2,31,30,"gemini,google_ai_mode,google_ai_overview,perplexity"
36,https://wellows.com/blog/wellows-vs-tryprofound/,45,2,34,11,"google_ai_mode,google_ai_overview,openai,perplexity"
37,https://wellows.com/blog/wellows-vs-rankability/,40,1,40,21,perplexity
38,https://wellows.com/blog/marketing-plan-checklist/,36,1,33,22,"gemini,google_ai_mode,perplexity"
39,https://wellows.com/features/performance-history/,35,2,28,19,"google_ai_mode,google_ai_overview,openai,perplexity"
40,https://wellows.com/blog/on-page-checklist/,34,2,24,17,"gemini,google_ai_mode,google_ai_overview,perplexity"
41,https://wellows.com/tools/perplexity-visibility-tracker/,34,5,28,17,"gemini,google_ai_mode,google_ai_overview,openai,perplexity"
42,https://wellows.com/blog/wellows-vs-promptwatch/,33,12,10,4,"gemini,google_ai_mode,google_ai_overview"
