"Date","Citations","Cited Pages"
"7/20/2026 12:00:00 AM","1195","41"
"7/21/2026 12:00:00 AM","1317","38"
"7/22/2026 12:00:00 AM","1216","44"
"7/23/2026 12:00:00 AM","1486","45"
"7/24/2026 12:00:00 AM","1028","41"
"7/25/2026 12:00:00 AM","965","37"
"7/26/2026 12:00:00 AM","2304","36"
"7/27/2026 12:00:00 AM","808","24"
"7/28/2026 12:00:00 AM","781","21"
"7/29/2026 12:00:00 AM","770","20"
"7/30/2026 12:00:00 AM","762","21"
"7/31/2026 12:00:00 AM","967","10"
"8/1/2026 12:00:00 AM","683","12"
"8/2/2026 12:00:00 AM","631","15"
"8/3/2026 12:00:00 AM","817","21"
"8/4/2026 12:00:00 AM","711","28"
"8/5/2026 12:00:00 AM","1074","22"
"8/6/2026 12:00:00 AM","766","23"
"8/7/2026 12:00:00 AM","4101","43"
"8/8/2026 12:00:00 AM","3746","41"
"8/9/2026 12:00:00 AM","4306","45"
"8/10/2026 12:00:00 AM","4362","46"
"8/11/2026 12:00:00 AM","3536","41"
"8/12/2026 12:00:00 AM","4742","46"
"8/13/2026 12:00:00 AM","5688","52"
"8/14/2026 12:00:00 AM","4641","47"
"8/15/2026 12:00:00 AM","4833","38"
"8/16/2026 12:00:00 AM","4808","45"
"8/17/2026 12:00:00 AM","5557","44"
